# Visual Studio 2005 shortucts

NavigateForward | Move to next location | Ctrl Shift -
NavigateBackwards | Move to previous location | Ctrl -
GotoCommandLine | Go to the command line | Ctrl /
CodeDefinitionWindow | Go to the code definition window | Ctrl \, Ctrl D
ErrorList | View the error list | Ctrl \, Ctrl E
TaskList | View the task list | Ctrl \, Ctrl T
BrowseNext | Browse to the next item | Ctrl Shift 1
BrowsePrevious | Browse to the previous item | Ctrl Shift 2
SelectAll | Select all | Ctrl A
CommandWindow | View the command window | Ctrl Alt A
AddNewItem | Add a new project item | Ctrl Shift A
AddExistingItem | Add an existing project item | Shift Alt A
Breakpoints | View breakpoints | Ctrl Alt B
BreakAtFunction | Add breakpoint at current function | Ctrl B
BuildSolution | Build solution | Ctrl Shift B
Undo | Undo | Alt Backspace
Cancel | Cancel current build | Ctrl Break
CallStack | View the call stack | Ctrl Alt C
ClassView | View the class view | Ctrl Shift C
Disassembly | View dissembly | Ctrl Alt D
GoToFindCombo | Go to the find combo | Ctrl D
ShowDataSources | Show data sources | Shift Alt D
Cut | Cut | Shift Del
Exceptions | View the exceptions | Ctrl Alt E
ResourceView | View the resource view | Ctrl Shift E
FullScreen | Toggle fullscreen | Shift Alt Enter
ActivateDocumentWindow | Activate the document window | Esc
CloseToolWindow | Close the current tool window | Shift Esc
Find | Find | Ctrl F
FindInFiles | Find in files | Ctrl Shift F
Contents | View help contents | Ctrl Alt F1
HowDoI | How Do I? | Ctrl F1
F1Help | View help | F1
WindowHelp | View the help for the window | Shift F1
ApplyCodeChanges | Apply the code changes | Alt F10
StepOverCurrentProcess | Step over the current process | Ctrl Alt F10
RunToCursor | Run to the cursor | Ctrl F10
StepOver | Step over statement | F10
StepIntoCurrentProcess | Step into the current process | Ctrl Alt F11
ToggleDisassembly | Toggle display of disassembly | Ctrl F11
StepOutCurrentProcess | Step out of the current process | Ctrl Shift Alt F11
StepInto | Step into the next statement | F11
StepOut | Step out of the current section | Shift F11
FindSymbol | Find a symbol | Alt F12
FindSymbolResults | View find symbol results | Ctrl Alt F12
GoToDeclaration | Go to the declaration | Ctrl F12
NextError | Go to the location of the next error | Ctrl Shift F12
GoToDefinition | Go the the definition | F12
QuickFindSymbol | Quick find symbol | Shift Alt F12
FindAllReferences | Find all references to item | Shift F12
Index | View help index | Ctrl Alt F2
MoveToNavigationBar | Move to the navigation bar | Ctrl F2
EditLabel | Edit a label | F2
StopSearch | Stop searching | Alt F3, Alt S
Search | Search help | Ctrl Alt F3
FindPreviousSelected | Find the previous selected item | Ctrl Shift F3
FindNext | Find next item | F3
SearchResults | View help search results | Shift Alt F3
FindPrevious | Find previous item | Shift F3
CloseDocumentWindow | Close current document window | Ctrl F4
