# Microsoft Outlook 2007 shortcuts

SwitchToMail | Switch to Mail | Ctrl 1
SwitchToCalendar | Switch to Calendar | Ctrl 2
SwitchToContacts | Switch to Contacts | Ctrl 3
SwitchToTasks | Switch to Tasks | Ctrl 4
SwitchToNotes | Switch to Notes | Ctrl 5
SwitchToFolderList | Switch to Folder List in Navigation Pane | Ctrl 6
SwitchToShortcuts | Switch to Shortcuts | Ctrl 7
SwitchToNextMessage | Switch to next message | Ctrl .
SwitchToPrevMessage | Switch to previous message | Ctrl ,
NextPane | Move to next pane | F6; Ctrl Shift Tab
NextSmallPane | Move to the next small pane | Tab
NextFolder | Move to next folder | Ctrl Y
Search | Go to the search box | F3; Ctrl E
ExpandGroup | Expand a group in the Navigation Pane | Shift +
CollapseGroup | Collapse a group in the Navigation Pane | Shift -
NextField | Move to next field in Reading Pane | Shift Tab
PrevField | Move to previous field in Reading Pane | Ctrl Tab
PrevView | Go back to previous view in main window | Alt B, Alt Left; Alt Backspace
NextView | Go forward to next view in main windows | Alt Right
SelectInfoBar | Select the InfoBar | Ctrl Shift W
FindMessage | Find a message or other item | Ctrl E
ClearSearch | Clear the search results | Escape
ExpandSearch | Expand the search to include all items | Ctrl Alt A
ExpandSearchQuery | Expand th search query builder | Ctrl Alt W
AdvancedFind | Use Advanced Find | Ctrl Shift F
CreateSearchFolder | Create a new search folder | Ctrl Shift P
SearchForText | Search for text within an item | F4
FindNextText | Find next during text search within item | Shift F4
FindAndReplaceText | Find and replace text | Ctrl H
ExpandSearchDesktop | Expand search to include desktop | Ctrl Alt K
OpenFlagDialog | Open the Flag for Follow Up dialog box to assign a flag | Ctrl Shift G
DeleteColorCat | Delete color category | Alt D
CreateAppointment | Create an appointment | Ctrl Shift A
CreateContact | Create a contact | Ctrl Shift C
CreateDistribList | Create a distribution list | Ctrl Shift L
CreateFax | Create a fax | Ctrl Shift X
CreateFolder | Create a folder | Ctrl Shift E
CreateJournal | Create a Journal entry | Ctrl Shift J
CreateMeetingRequest | Create a meeting request | Ctrl Shift Q
CreateMessage | Create a message | Ctrl Shift M
CreateNote | Create a note | Ctrl Shift N
CreateOfficeDoc | Create a new Office document | Ctrl Shift H
PostToFolder | Post to this folder | Ctrl Shift S
PostReply | Post a reply to this folder | Ctrl T
CreateTask | Create a task | Ctrl Shift K
CreateTaskRequest | Create a task request | Ctrl Shift U
Save | Save | Ctrl S; Shift F12
SaveAndClose | Save and close | Alt S
SaveAs | Save as | F12
Undo | Undo | Ctrl Z; Alt Backspace
DeleteItem | Delete an item | Ctrl D
Print | Print | Ctrl P
CopyItem | Copy an item | Ctrl Shift Y
MoveItem | Move an item | Ctrl Shift V
CheckNames | Check names | Ctrl K
CheckSpelling | Check spelling | F7
FlagForFollowup | Flag for follow-up | Ctrl Shift G
Forward | Forward | Ctrl F
SendPost | Send or post or invite all | Alt S
TurnOnEditing | Turn on editing | F2
LeftAlignText | Left align text | Ctrl L
CenterText | Center text | Ctrl E
RightAlignText | Right align text | Ctrl R
SwitchToInbox | Switch to Inbox | Ctrl Shift I
SwitchToOutbox | Switch to Outbox | Ctrl Shift O
ChooseSendAccount | Choose the account from which to send a message | Ctrl Tab, Tab
Reply | Reply to a message | Ctrl R
ReplyAll | Reply all to a message | Ctrl Shift R
MarkNotJunk | Mark a message as not junk | Ctrl Alt J
DisplayBlockedContent | Display blocked external content | Ctrl Shift I
PostToFolder | Post to a folder | Ctrl Shift S
NormalStyle | Apply normal style | Ctrl Shift N
CheckForMessages | Check for new messages | Ctrl M; F9
PrevMessage | Go to the previous message | Up
NextMessage | Go to the next message | Down
NewMessage | Create a new message (from Mail) | Ctrl N
NewMessageAny | Create a new message | Ctrl Shift M
OpenMessage | Open a received message | Ctrl O
OpenAddressBook | Open the address book | Ctrl Shift B
ConvertToPlain | Convert an HTML or RTF message to plain text | Ctrl Shift O
AddQuickFlag | Add a Quick Flag to an unopened message | Insert
